"Fecha";Local;Visita;Distancia
"1";"Deportes Antofagasta";"Deportes Iquique";"7940.06"
"1";"Deportes La Serena";"Cobresal";"7984.7"
"1";"Unión La Calera";"Coquimbo Unido";"8218.02"
"1";"Santiago Wanderers";"Everton";"8294.95"
"1";"Colo-Colo";"Audax Italiano";"8218.39"
"1";"Universidad de Chile";"Palestino";"8226.56"
"1";"Universidad Católica";"Unión Española";"8222.85"
"1";"Curicó Unido";"O'Higgins";"8246.41"
"1";"Universidad de Concepción";"Huachipato";"8510.56"
"2";"Cobresal";"Deportes Iquique";"7940.06"
"2";"Deportes La Serena";"Deportes Antofagasta";"8018.46"
"2";"Everton";"Coquimbo Unido";"8218.02"
"2";"Unión La Calera";"Santiago Wanderers";"8304.74"
"2";"Universidad de Chile";"Audax Italiano";"8218.39"
"2";"Palestino";"Colo-Colo";"8220.18"
"2";"O'Higgins";"Unión Española";"8222.85"
"2";"Curicó Unido";"Universidad Católica";"8208.24"
"2";"Curicó Unido";"Universidad Católica";"8510.56"
"2";"Huachipato";"Universidad de Concepción";"8504.4"
"3";"Deportes La Serena";"Deportes Iquique";"7940.06"
"3";"Cobresal";"Deportes Antofagasta";"8018.46"
"3";"Santiago Wanderers";"Coquimbo Unido";"8218.02"
"3";"Unión La Calera";"Everton";"8294.95"
"3";"Palestino";"Audax Italiano";"8218.39"
"3";"Universidad de Chile";"Colo-Colo";"8220.18"
"3";"Curicó Unido";"Unión Española";"8222.85"
"3";"O'Higgins";"Universidad Católica";"8208.24"
"3";"O'Higgins";"Universidad Católica";"8510.56"
"3";"O'Higgins";"Universidad Católica";"8504.4"
"4";"Coquimbo Unido";"Deportes Iquique";"7940.06"
"4";"Unión La Calera";"Deportes Antofagasta";"8018.46"
"4";"Everton";"Cobresal";"7984.7"
"4";"Santiago Wanderers";"Deportes La Serena";"8208.81"
"4";"Unión Española";"Audax Italiano";"8218.39"
"4";"Universidad Católica";"Colo-Colo";"8220.18"
"4";"O'Higgins";"Palestino";"8226.56"
"4";"Curicó Unido";"Universidad de Chile";"8219.71"
